#{"t_start": 1746790459.9771364, "env_id": "None"}
r,l,t
-100.0,424,3.10851
-120.0,500,4.244002
-120.0,535,5.747238
-120.0,445,7.042456
-120.0,424,8.156548
-120.0,795,10.152733
-120.0,565,11.676922
-120.0,577,13.372324
-120.0,584,15.107242
-120.0,521,16.687253
-120.0,476,18.030094
-120.0,408,19.065414
-96.0,494,20.470133
-120.0,715,22.185616
-108.0,582,23.647037
-120.0,650,34.439336
-120.0,468,35.584673
-96.0,460,36.784492
-116.0,653,38.372175
-90.0,665,40.052421
-108.0,600,41.654657
-96.0,566,43.366413
-120.0,415,44.308558
-96.0,639,46.120183
-88.0,824,48.693488
-120.0,467,49.811205
-120.0,545,51.123281
-120.0,505,52.487624
-120.0,388,53.460045
